Organization,Resource Name,Resource Description,Resource URL,Categories
Ministry of Innovation and Technology,Addis Ababa City Structure Plan Summary Report -2017 2027,Addis Ababa City Structure Plan Summary Report (2017 2027),https://www.business.gov.et/assets/files/construction-permit/Addis-Ababa-City-Structure-Plan-Summary-Report-(2017-2027).pdf,Report
Ministry of Innovation and Technology,Compulsory Ethiopian Standard for Building Spatial Design CES 163,Compulsory Ethiopian Standard for Building Spatial Design CES 164,https://www.business.gov.et/assets/files/construction-permit/Compulsory-Ethiopian-Standard-for-Building-Spatial-Design-CES-164.pdf,None
